#DEVICE_TYPE,DEVICE_ID,AIRCRAFT_MODEL,REGISTRATION,CN,TRACKED,IDENTIFIED
'F','400ED2','Motorplane','G-BYUN','UN','Y','Y'
'F','400ED3','Motorplane','G-BYUO','UO','Y','Y'
'F','400ED4','Motorplane','G-BYUP','UP','Y','Y'
'F','400ED5','Motorplane','G-BYUR','UR','Y','Y'
'F','400ED6','Motorplane','G-BYUS','US','Y','Y'
'F','400ED8','Motorplane','G-BYUU','UU','Y','Y'
'F','400ED9','Motorplane','G-BYUV','UV','Y','Y'
'F','400EDA','Motorplane','G-BYUW','UW','Y','Y'
'F','400EDB','Motorplane','G-BYUX','UX','Y','Y'
'F','400EDC','Motorplane','G-BYUY','UY','Y','Y'
'F','400EDD','Motorplane','G-BYUZ','UZ','Y','Y'
'F','400EDE','Motorplane','G-BYVA','VA','Y','Y'
'F','400EDF','Motorplane','G-BYVB','VB','Y','Y'
'F','400EE0','Motorplane','G-BYVC','VC','Y','Y'
'F','400EE1','Motorplane','G-BYVD','VD','Y','Y'
'F','400EE2','Motorplane','G-BYVE','VE','Y','Y'
'F','400EE3','Motorplane','G-BYVF','VF','Y','Y'
'F','400EE4','Motorplane','G-BYVG','VG','Y','Y'
'F','400EE5','Motorplane','G-BYVH','VH','Y','Y'
'F','400EE6','Motorplane','G-BYVI','VI','Y','Y'
'F','400EE7','Motorplane','G-BYVJ','VJ','Y','Y'
'F','400EE8','Motorplane','G-BYVK','VK','Y','Y'
'F','400EE9','Motorplane','G-BYVL','VL','Y','Y'
'F','400EEA','Motorplane','G-BYVM','VM','Y','Y'
'F','400EEC','Motorplane','G-BYVO','VO','Y','Y'
'F','400EED','Motorplane','G-BYVP','VP','Y','Y'
'F','400EEE','Motorplane','G-BYVR','VR','Y','Y'
'F','400EEF','Motorplane','G-BYVS','VS','Y','Y'
'F','400EF0','Motorplane','G-BYVT','VT','Y','Y'
'F','400EF1','Motorplane','G-BYVU','VU','Y','Y'
'F','400EF2','Motorplane','G-BYVV','VV','Y','Y'
'F','400EF3','Motorplane','G-BYVW','VW','Y','Y'
'F','400EF4','Motorplane','G-BYVX','VX','Y','Y'
'F','400EF5','Motorplane','G-BYVY','VY','Y','Y'
'F','400EF6','Motorplane','G-BYVZ','VZ','Y','Y'
'I','40104E','PZL-104 Wilga','G-BUNC','','Y','Y'
'F','4012B1','ASH-25','G-CFWW','FWW','Y','Y'
'F','4012FE','Discus','G-ceun','506','Y','Y'
'F','40130F','Discus','G-CGDX','HB2','Y','Y'
'F','401385','TL-2000 Sting','G-STNG','NG','Y','Y'
'I','4013AA','Ka-8','G-CJAT','JAT','Y','Y'
'I','4013AC','ASK-21','G-CJAV','JAV','Y','Y'
'I','4013AD','SZD-50 Puchacz','G-CJRF','JRF','Y','Y'
'I','4013B2','ASK-21','G-CGBV','GBV','Y','Y'
'I','4013B3','ASK-21','G-CJAX','JAX','Y','Y'
'I','401536','PA-18 Super Cub','G-ARGV','GV','Y','Y'
'F','401720','PA-25 Pawnee','G-AVPY','PY','Y','Y'
'I','401807','PA-25 Pawnee','G-AXED','ED','Y','Y'
'F','4019A5','MS-893 Commodore','G-AZYD','','Y','Y'
'F','401A82','PA-25 Pawnee','G-BAUC','UC','Y','Y'
'I','401AF3','DHC-1 Chipmunk','g-bbmz','','Y','Y'
'F','401C7E','PA-18 Super Cub','G-BEOI','OI','Y','Y'
'I','401C92','PA-25 Pawnee','G-BETM','','Y','Y'
'O','401CCC','Jodel D120','G-BFBA','FBA','Y','Y'
'I','401E99','PA-25 Pawnee','G-BHUU','','Y','Y'
'I','401FA9','PA-18 Super Cub','G-BJIV','','Y','Y'
'I','4020C5','DR-300','G-BLGH','','Y','Y'
'F','402563','Grob G109','G-WAVE','','Y','Y'
'I','4025B5','PA-25 Pawnee','G-BFPR','PR','Y','Y'
'F','402706','Motorglider','g-char','AR','Y','Y'
'F','4027B0','DG-400','G-DIRK','RK','Y','Y'
'F','40305D','DG-400','G-BRTW','TW','Y','Y'
'F','40327F','DR-400','G-BSSP','SP','Y','Y'
'I','403341','SF-25','G-BSUO','UO','Y','Y'
'I','4034BF','SF-25','G-OWGC','WGC','Y','Y'
'I','4038D5','Motorglider','G-BVKU','KU','Y','Y'
'F','404177','DG-808 B','G-MSIX','M6','Y','Y'
'F','4041E8','DG-600','G-KOFM','FM','Y','Y'
'I','404343','DR-400','G-OTIB','IB','Y','Y'
'F','4043E8','DR-400','G-BZMM','MM','Y','Y'
'I','4046DE','Motorglider','G-CBLY','GLY','Y','Y'
'F','404BE2','Grob G109','G-RASH','GSH','Y','Y'
'I','404D10','SF-25','G-CDFD','','Y','Y'
'F','404E33','Other','G-satn','TN','Y','Y'
'I','404E9A','Ventus 2cxT','G-CKKF','306','Y','Y'
'I','404EBF','Discus 2cT','G-CKLD','797','Y','Y'
'I','404EFC','ASK-13','G-CKKR','KKR','Y','Y'
'I','404F07','DG-303','G-CKJH','KJH','Y','Y'
'I','404F0D','ASK-21','G-CKLW','KLW','Y','Y'
'I','404F45','Ultralight','G-CDUH','','Y','Y'
'F','404F79','Duo Discus t','G-CKML','KA','Y','Y'
'I','404F8E','DG-1000 T','G-RIEF','EF','Y','Y'
'F','404FA0','Ventus ct','G KCHG','JB','Y','Y'
'I','404FBA','SF-25','G-OSUT','','Y','Y'
'I','404FEF','ASK-18','G-CKNM','K18','Y','Y'
'I','40500C','LS-4','G-CKLS','KLS','Y','Y'
'I','4050C9','SZD-51 Junior','G-CKHR','KHR','Y','Y'
'I','4051F2','Duo Discus xt','G-CKPO','KPO','Y','Y'
'F','40528D','Ventus bT','G-VNTS','911','Y','Y'
'I','40528F','SZD-50 Puchacz','G-CKHW','KHW','Y','Y'
'I','40529E','LS-6 18','G-CHHU','445','Y','Y'
'I','4052F7','ASK-13','G-CKRB','KRB','Y','Y'
'F','405303','ASW-20','','201','Y','Y'
'F','405380','Ventus 2t','G-VTUS','02','Y','Y'
'F','405388','LS-6 18','G-LSVI','LJ','Y','Y'
'I','4053B1','Nimbus 3','G-CFAM','J15','Y','Y'
'F','405432','Duo Discus','G-CKEV','R2','Y','Y'
'F','40544F','Discus','G-DHGL','HGL','Y','Y'
'I','405459','LS-4','G-LSFR','LS4','Y','Y'
'F','40549B','ASW-20','G-CJEE','JEE','Y','Y'
'I','4054D5','ASK-21','G-CJVZ','JVZ','Y','Y'
'F','4054ED','Ventus','G-UNIN','U9','Y','Y'
'F','4054EE','SZD-50 Puchacz','G-CFYA','FYA','Y','Y'
'I','405562','Discus t','g-cjoc','208','Y','Y'
'F','405589','Twin Astir II','G-JAPK','PK','Y','Y'
'I','4055E2','DG-1000','G-CKFN','DS2','Y','Y'
'F','4055E9','LS-7','G-CJZZ','7UP','Y','Y'
